COMPANY                              ,COUNTRY_ISO2,LOCATION,TURNOVER,LISTED,TICKER,STOCK_MARKET,BUSINESS_DOMAIN,ENERGY_DOMAIN,SUPPLY_CHAIN_SEGMENT,WEBSITE,INFO,CONTACT
GEVO,US,,,TRUE,GEVO,^GSPC,ENERGY,BIOENERGY,SAF,https://gevo.com/,,
GHS,DK,,,TRUE,GREENH.CO,^OMXC25,ENERGY,HYDROGEN,ELECTROLYSER,https://www.greenhydrogensystems.com/,,
GHT,DE,,,,,,,,,https://BLANK,,
GILBARCO_VEEDER-ROOT,GB,,,,,,,,,https://BLANK,,
GKK,FR,,,,,,,,,https://www.gck.co,,
GLOMFJORD_HYDROGEN_AS,,,,,,,,,,https://BLANK,,
GO_ENERGY,,,,,,,,,,https://BLANK,,
GOLD_HYDROGEN,AU,,,TRUE,GHYLF,^AXJO,ENERGY,HYDROGEN,EXPLORATION,https://www.goldhydrogen.com.au,,
GP_JOULE,DE,,,FALSE,,,,,,https://www.gp-joule.com,,
GREEN_NORTH_ENERGY,,,,,,,,,,https://www.greennorth.energy,,
GREENGO_ENERGY,,,,,,,,,,https://www.greengoenergy.com,,
GREENH,,,,,,,,,,https://BLANK,,
GREENSTAT,,,,,,,,,,https://BLANK,,
GREENTURE,IT,,,,,,,,,https://BLANK,,
GTI_ENERGY,US,,,FALSE,,,ENERGY,HYDROGEN,,https://www.gti.energy,,
H2_GREEN_POWER_&_LOGISTIC,,,,,,,,,,https://BLANK,,
H2_MOBILITY,DE,,,FALSE,,,ENERGY,HYDROGEN,DISTRIBUTION,https://BLANK,,
H2C,IT,,,,,,,,,https://www.h2cspa.com/en/,,
H2CARRIER,,,,,,,,,,https://BLANK,,
H2EG,,,,,,,,,,https://BLANK,,
H2ENERGY,,,,,,,,,,https://BLANK,,
H2ERMES,,,,,,,,,,https://BLANK,,
H2SITE,,,,,,,,,,https://BLANK,,
H2V,FR,,,,,,,,,https://www.h2v.net/,,
H2YFIVE,ES,,,,,,,,,https://www.hy5.energy/,,
HAFFNER_ENERGY,FR,,,TRUE,ALHAF.PA,^FCHI,ENERGY,HYDROGEN,,https://www.haffner-energy.com/,,
HAMR,AU,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://www.hamrenergy.com/,,
HAZER_GROUP,AU,,,TRUE,2H8.F,^AXJO,ENERGY,HYDROGEN,,https://www.hazergroup.com.au,,
HDF_ENERGY,,,,,,,,,,https://www.hdf-energy.com/,,
HELIOS_ARAGON,ES,,,FALSE,,,ENERGY,HYDROGEN,EXPLORATION,https://helios-aragon.com/,,
HEXAGON_PURUS,NO,,,TRUE,HPUR.OL,OBX.OL,ENERGY,HYDROGEN,DISTRIBUTION,https://hexagonpurus.com/,,
HH2E,DE,,,FALSE,,,ENERGY,HYDROGEN,PRODUCER,https://BLANK,,
HIPERBARIC,,,,,,,,,,https://www.hiperbaric.com,,
HORISONT_ENERGI,,,,,,,,,,https://BLANK,,
HOST_PTX,,,,,,,,,,https://BLANK,,
HRS,FR,,,,,,,,,https://BLANK,,
HTWO-FUEL,,,,,,,,,,https://BLANK,,
HY.WAIBLINGEN,,,,,,,,,,https://BLANK,,
HY2GEN,DE,,,FALSE,,,ENERGY,HYDROGEN,,https://www.hy2gen.com/,,
HY5_ENERGY,,,,,,,,,,https://BLANK,,
HYDREXIA,,,,,,,,,,https://www.hydrexia.com/en,,
HYDRO,,,,,,,,,,https://BLANK,,
HYDROGEN_ONE_CAPITAL,GB,,,TRUE,HGEN.L,^FTSE,ENERGY,HYDROGEN,,https://www.hydrogenonecapitalgrowthplc.com,,
HYDROGEN_UTOPIA_INTERNATIONAL,GB,,,FALSE,,,ENERGY,HYDROGEN,,https://www.hydrogenutopia.eu,,
HYDROSPIDER,,,,,,,,,,https://BLANK,,
HYFIVE,,,,,,,,,,https://BLANK,,
HYFUEL_AS,NO,,,FALSE,,,,,,https://www.hyfuel.no/en,,
HYGRO,NL,,,,,,,,,https://BLANK,,
HYLIUM_INDUSTRIES,,,,,,,,,,https://BLANK,,
HYMPULSION,FR,,,,,,,,,https://BLANK,,
HYNAMICS,FR,,,,,,,,,https://BLANK,,
HYPION,DE,,,,,,,,,https://BLANK,,
HYSTAR,NO,,,FALSE,,,ENERGY,HYDROGEN,ELECTROLYSER,https://www.hystar.com/,,
HYTERRA,AU,,,TRUE,HYT.AX,^AXJO,ENERGY,HYDROGEN,EXPLORATION,https://www.hyterra.com,,
HYVIA,,,,,,,,,,https://www.hyvia.eu/,,
HYZON,US,,,TRUE,HYZN,^GSPC,ENERGY,HYDROGEN,FUEL_CELLS,https://www.hyzonfuelcell.com,,
IBERDROLA,ES,,,,,,,,,https://BLANK,,
IGE,IT,,,,,,,,,https://BLANK,,
INDUSTRIEPARK_HÃ–CHST,DE,,,,,,,,,https://BLANK,,
INEOS,,,,,,,,,,https://www.ineos.com/,,
INFENER,DE,,,,,,,,,https://BLANK,,
INTHY,FR,,,FALSE,,,,,,https://www.inthy.com/,,
IQONY,DE,,,,,,,,,https://BLANK,,
ITM,GB,,,TRUE,ITM.L,^FTSE,ENERGY,HYDROGEN,ELECTROLYSER,https://www.itm-power.com/,,
JA_SOLAR,CN,,,TRUE,002459.SZ,,ENERGY,SOLAR,PANELS,https://www.jasolar.com/html/en/,,
JET_H2_ENERGY,DE,,,,,,,,,https://BLANK,,
JETZERO,AU,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://jetzero.com.au/,,
JINKO,CN,,,TRUE,688223.SS,,ENERGY,SOLAR,PANELS,https://www.jinkosolar.com/en/,,
JOHN_COCKERILL ,FR,,,FALSE,,,ENERGY,HYDROGEN,ELECTROLYSER,https://www.johncockerill.com/en/,,
JULESINDUSTRIES,,,,,,,,,,https://BLANK,,
KAIROS_POWER,,,,,,,ENERGY,NUCLEAR,,https://www.kairospower.com/,,
KBR,US,,,TRUE,KBR,^GSPC,,,TECHNOLOGY,https://BLANK,,
KVINA_ENERGY,,,,,,,,,,https://BLANK,,
KVYREEN,CH,,,,,,,,,https://BLANK,,
LANZAJET,US,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://www.lanzajet.com/,,
LANZATECH,US,,,TRUE,LNZA,^GSPC,ENERGY,HYDROGEN,,https://www.lanzatech.com,,
LATHI_ENERGIA,,,,,,,,,,https://BLANK,,
LHYFE,FR,,,TRUE,F1B.F,^FCHI,ENERGY,HYDROGEN,PRODUCER,https://www.lhyfe.com/,,
LIFTE_H2,DE,,,,,,,,,https://BLANK,,
LINDE,DE,,,TRUE,LIN,^GSPC,ENERGY,HYDROGEN,LIQUEFIER,https://www.linde.com,,
LONGI,CN,,,TRUE,601012.SS,,ENERGY,SOLAR,PANELS,https://www.longi.com/eu/,,
LOOTHABIOFUELS,AE,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://www.lootahbiofuels.com/,,
LOTOS_GREEN_H2,,,,,,,,,,https://BLANK,,
LOTUS_RESOURCES,AU,,,TRUE,LOT.AX,^AXJO,ENERGY,NUCLEAR,URANIUM,https://www.lotusresources.com.au/,,
LUXARA,,,,,,,,,,https://BLANK,,
MADIC-GROUP,FR,,,,,,,,,https://www.groupe.madic.com/en/home/,,
MADOQUAPOWER2X,,,,,,,,,,https://BLANK,,
MAXIMATOR,DE,,,,,,ENERGY,HYDROGEN,DISTRIBUTION,https://BLANK,,
MCPHY,FR,,,TRUE,MPHYF,^FCHI,ENERGY,HYDROGEN,ELECTROLYSER,https://www.mcphy.com/en/,,
MERAKER_HYDROGEN__AS,,,,,,,,,,https://BLANK,,
METHANOLREFORMER,ES,,,TRUE,,,ENERGY,P2X,E-METHANOL,https://www.methanolreformer.com/,,
MINCATEC-ENERGY,FR,,,FALSE,,,ENERGY,HYDROGEN,,https://BLANK,,
MINT,DE,,,FALSE,,,ENERGY,HYDROGEN,DISTRIBUTION,https://BLANK,,
MMM_ENERGY,ES,,,,,,,,,https://BLANK,,
MMM-GROUP,DE,,,,,,,,,https://BLANK,,
MOBHY,FR,,,,,,,,,https://BLANK,,
MOEVE,ES,,,FALSE,,,ENERGY,O&G_MAJORS,,https://www.moeveglobal.com/en,,
MOL,,,,,,,,,,https://BLANK,,
MONOLITH,US,,,FALSE,,,ENERGY,HYDROGEN,,https://www.monolith-corp.com,,
MONTANARENEWABLES,US,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://montanarenewables.com/,,
MOTE,US,,,FALSE,,,ENERGY,HYDROGEN,,https://www.motehydrogen.com,,
MPREIS,AT,,,,,,,,,https://BLANK,,
NANO_NUCLEAR_ENERGY,US,,,TRUE,NNE,^GSPC,ENERGY,NUCLEAR,SMR,https://www.nanonuclearenergy.com/?v=5f02f0889301,,
NEA,DE,,,,,,,,,https://BLANK,,
NEL,NO,,,TRUE,NEL.OL,OSEBX.OL,ENERGY,HYDROGEN,ELECTROLYSER,https://www.nelhydrogen.com,,
NEPTUN_GLOMFJORD_GREEN_AMMONIA_AS,,,,,,,,,,https://BLANK,,
NEPTUN_TROMSO_AS,,,,,,,,,,https://BLANK,,
NEUMANN_ESSER,DE,,,FALSE,,,ENERGY,HYDROGEN,COMPRESSOR,https://www.neuman-esser.com,,
NIKKISO,,,,,,,,,,https://BLANK,,
NIKOLA,US,,,TRUE,NKLA,^GSPC,ENERGY,HYDROGEN,FUEL_CELLS,https://www.nikolamotor.com,,
NORDIC_ELECTROFUEL,NO,,,FALSE,,,ENERGY,P2X,E-FUELS,https://nordicelectrofuel.no/,,
NORSK_E-FUELS,,,,,,,ENERGY,P2X,E-FUELS,https://www.norsk-e-fuel.com/,,
NORTH_AMMONIA,,,,,,,,,,https://BLANK,,
NORWEGIAN_HYDROGEN,,,,,,,,,,https://BLANK,,
NOVA_PANGEA,GB,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://www.novapangaea.com/,,
NRG_ENERGY,US,,,TRUE,NRG,^GSPC,ENERGY,UTILITIES,,https://www.nrg.com,,
NTE,,,,,,,,,,https://BLANK,,
NU_SCALE_POWER,US,,,TRUE,SMR,^GSPC,ENERGY,NUCLEAR,SMR,https://www.nuscalepower.com/en,,
NXTCLEAN,US,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://nxtclean.com/,,
OKLO,US,,,TRUE,OKLO,^GSPC,ENERGY,NUCLEAR,SMR,https://www.oklo.com/overview/default.aspx,,
OMV,AT,,,,,,,,,https://BLANK,,
ORLEN,PL,,,,,,,,,https://BLANK,,
ORSTED,DK,,,,,,,,,https://BLANK,,
OX2,,,,,,,,,,https://BLANK,,
OXYLUS_ENERGY,GB,,,FALSE,,,ENERGY,P2X,E-METHANOL,https://www.oxylusenergy.com/,,
P2X,,,,,,,,,,https://BLANK,,
PACIFICO,DE,,,,,,,,,https://BLANK,,
PALADIN_ENERGY,AU,,,TRUE,PDN.AX,^AXJO,ENERGY,NUCLEAR,URANIUM,https://www.paladinenergy.com.au,,
PHYNIX,FR,,,,,,,,,https://BLANK,,
PLAGAZI,SE,,,FALSE,,,ENERGY,HYDROGEN,,https://www.plagazi.com,,
PLENITUDE,IT,,,,,,,,,https://BLANK,,
PLUG_POWER,US,,,TRUE,PLUG,^GSPC,ENERGY,HYDROGEN,ELECTROLYSER,https://www.plugpower.com,,
PORT_OF_KLAPEDA,,,,,,,,,,https://BLANK,,
POWER2X,ES,,,,,,,,,https://BLANK,,
PRIME_CAPITAL,,,,,,,,,,https://BLANK,,
PROVARIS,NO,,,TRUE,PV1.AX,^AXJO,ENERGY,HYDROGEN,DISTRIBUTION,https://www.provaris.energy,,
QAIR,FR,,,FALSE,,,,,,https://www.qair.energy,,
Q-BILITY,,,,,,,,,,https://BLANK,,
QD-SOL,IL,,,FALSE,,,ENERGY,HYDROGEN,,https://www.qd-sol.com,,
QUEST_ONE,DE,,,FALSE,,,ENERGY,HYDROGEN,ELECTROLYSER,https://www.questone.com/,,
RAVEN_SR,US,,,FALSE,,,ENERGY,HYDROGEN,,https://www.ravensr.com,,
REFUELS,GB,,,TRUE,REFL.OL,OBX.OL,ENERGY,BIOENERGY,BIOMETHANE,https://www.refuels.com/,,
RELY,,,,,,,,,,https://BLANK,,
REN_GAS,FI,,,FALSE,,,ENERGY,P2X,E-FUELS,https://ren-gas.com/en/,,
RENATO_PTX_HOLDCO,,,,,,,,,,https://BLANK,,
REPSOL,ES,,,TRUE,,,,,,https://BLANK,,
RISEN,CN,,,TRUE,300118.SZ,,ENERGY,SOLAR,PANELS,https://en.risen.com/,,
RWE,DE,,,TRUE,,,,,,https://BLANK,,
RWZ_-_RAIFFEISEN,DE,,,,,,,,,https://BLANK,,
RYZE,GB,,,,,,,,,https://BLANK,,
SAFFIRERENEWABLES,US,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://www.saffirerenewables.com/,,
SALZBURG_AG,AT,,,,,,,,,https://BLANK,,
SFC_ENERGY,DE,,,TRUE,F3C.F,^GDAXI,ENERGY,HYDROGEN,FUEL_CELLS,https://www.sfc.com,,
SGH2_ENERGY,US,,,FALSE,,,ENERGY,HYDROGEN,,https://www.sgh2energy.com,,
SGPBIOENERGY,US,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://sgpbioenergy.com/,,
SHELL,DE,,,TRUE,,,,,,https://BLANK,,
SHYPS,,,,,,,,,,https://BLANK,,
SIEMENS,DE,,,TRUE,,,,,,https://BLANK,,
SIMPLIFHY,IT,,,,,,,,,https://BLANK,,
SKAGERAK_ENERGI,,,,,,,,,,https://BLANK,,
SMA,DE,,,TRUE,S92.DE,^GDAXI,ENERGY,SOLAR,INVERTERS,https://www.sma.de/,,
SOFRESID,,,,,,,,,,https://sofresid-engineering.com/,,
SR_GROUP,NO,,,,,,,,,https://BLANK,,
ST1_NORDIC_OY,FI,,,,,,,,,https://BLANK,,
STADTWERKE_STUTTGART,,,,,,,,,,https://BLANK,,
STADTWERKE_UFFENHEIM,DE,,,,,,,,,https://BLANK,,
STARFIRE_ENERGY,US,,,FALSE,,,ENERGY,HYDROGEN,,https://www.starfireenergy.com,,
STATKRAFT,NO,,,,,,,,,https://BLANK,,
STEEPER,DK,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://steeperenergy.com/,,
STORD_HYDROGEN,,,,,,,,,,https://BLANK,,
SWEDISHBIOFUELS,SE,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://swedishbiofuels.se/,,
SYNHELION,DE,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://synhelion.com/,,
TALEN_ENERGY,,,,,,,,,,https://www.talenenergy.com/,,
TANK_&_RAST,DE,,,,,,,,,https://BLANK,,
TANKPOOL_24,DE,,,,,,,,,https://BLANK,,
TEAG,,,,,,,,,,https://BLANK,,
TENARIS,,,,,,,,,,https://BLANK,,
TERRA_URANIUM,AU,,,TRUE,T92.XA,,,,,https://BLANK,,
TESSOMOTECH,DE,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://tessomotech.com/,,
THIEL,,,,,,,,,,https://BLANK,,
THYSSENKRUPP_NUCERA,DE,,,TRUE,NCH2.F,SDAX ,ENERGY,HYDROGEN,ELECTROLYSER,https://www.thyssenkrupp-nucera.com/,,
TIWAG,AT,,,,,,,,,https://BLANK,,
TONGWEI ,CN,,,TRUE,600438.SS,,ENERGY,SOLAR,PANELS,https://en.tongwei.cn/,,
TOPSOE,DK,,,FALSE,,,,,,https://BLANK,,
TOTALENERGIES,FR,,,,,,,,,https://BLANK,,
TRINA,CN,,,TRUE,688599.SS,,ENERGY,SOLAR,PANELS,https://www.trinasolar.com/en-glb,,
TURN2X,DE,,,FALSE,,,ENERGY,P2X,E-METHANE,https://turn2x.com/,,
TYZKCA_HYDROGEN,DE,,,,,,,,,https://BLANK,,
UNIPER,DE,,,TRUE,UNPRF,^GDAXI,,,,https://www.uniper.energy,,
UNIWASTEC,CH,,,,,,,,,https://BLANK,,
USABIOENERGY,US,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://usabioenergy.com/,,
VAKO,,,,,,,,,,https://BLANK,,
VENTURE_GLOBAL,US,,,TRUE,VG,^GSPC,ENERGY,LNG,,https://www.ventureglobal.com,,
VERBUND,AT,,,TRUE,OEWA.MU,^ATX,,,,https://BLANK,,
VERSO_ENERGY,FR,,,,,,,,,https://BLANK,,
VERTIMASS,US,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://www.vertimass.com/,,
VESTAS,DK,,,TRUE,VWS.CO,^OMXC25,ENERGY,WIND,TURBINES,https://www.vestas.com/en,,
VIRIDOS,US,,,FALSE,,,ENERGY,BIOENERGY,SAF,https://www.viridos.com/,,
VIRYA,NL,,,,,,,,,https://BLANK,,
VISSER_ENERGY_GROUP,NL,,,,,,,,,https://BLANK,,
VISTA,AR,,,TRUE,VIST,,,,,https://www.vistaenergy.com/inicio,,
VNG,,,,,,,,,,https://BLANK,,
VOLTH2,,,,,,,,,,https://BLANK,,
WASTE2H2,CA,,,FALSE,,,ENERGY,HYDROGEN,,https://www.waste2h2.ca,,
WESTFALEN,DE,,,,,,,,,https://BLANK,,
WESTGASS,NO,,,,,,,,,https://BLANK,,
WIEN_ENERGIE,AT,,,,,,,,,https://BLANK,,
WOLFTANK,DE,,,,,,,,,https://BLANK,,
WPD,DE,,,,,,,,,https://www.wpd.de,,
WUN_H2,DE,,,,,,,,,https://BLANK,,
WYSTRACH,DE,,,,,,,,,https://BLANK,,
X-ELIO,ES,,,,,,,,,https://BLANK,,
XFUELS,DE,,,,,,,,,https://xfuels.de/,,
YARA,NO,,,TRUE,YAR.OL,,ENERGY,P2X,E-AMMONIA,https://www.yara.com/,,
ZE_PAK_SA,,,,,,,,,,https://BLANK,,
ZERO_GREEN_SOLUTION,DE,,,,,,,,,https://BLANK,,
NORDEX,DE,,,TRUE,NDX1.DE,,ENERGY,WIND,TURBINES,https://www.nordex-online.com/en/,,
SIEMENS_ENERGY,DE,,,TRUE,ENR.DE,,,,,https://BLANK,,
GE_VERNOVA,US,,,TRUE,GEV,,ENERGY,WIND,TURBINES,https://BLANK,,
GOLDWIND,CY,,,TRUE,2208.HK,,ENERGY,WIND,TURBINES,https://www.goldwind.com/en/,,
HARBOUR_ENERGY,GB,,,TRUE,PQQ2.F,,,,,https://BLANK,,
HYDROGENPRO,NO,,,TRUE,0ACL.L,,ENERGY,HYDROGEN,ELECTROLYSER,https://hydrogenpro.com/,,
CATL,CY,,,TRUE,300750.SZ,,ENERGY,STORAGE,BESS,https://www.catl.com/en/,,
LG_CHEM,KR,,,TRUE,051915.KS,,ENERGY,STORAGE,BESS,https://www.lgchem.com/main/index?lang=en_US,,
SAMSUNG_SDI,KR,,,TRUE,006400.KS,,ENERGY,STORAGE,BESS,https://www.samsungsdi.com/,,
H2APEX,DE,,,FALSE,,,ENERGY,HYDROGEN,PRODUCER,https://BLANK,,
HIFGLOBAL,,,,,,,,,SAF,https://www.hifglobal.com/home,,
